task,occupation,company_count,company
"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",Computer Programmers,430,"LinkGrep; Explo; Dragoneye; LiteLLM; Lingo.dev; Simplex; Pumpkin; Elessar; MagiCode; CambioML; Axal; Comfy Deploy; Bytebot; HumanLayer; Tenderd; ZeroEntropy; Meta; Blast; Neosync; Standard AI; Trackingplan; Deepgram; Galini; RedBrick AI; SciPhi; NuMind; Pocket Worlds; Unsloth AI; CodeViz; Dream3D; Speechly; Truora; Scanbase; Vybe; Snaptalent; Traces; Bankjoy; Liftigniter; Narrative; Calltree AI; Clara Labs; Anglera; Top Road; Taylor AI; Sendbird; Opearlo; Scrapybara; Freshplum; Command AI; Coval; Veryfi, Inc.; Neptyne; Verihubs; HeroUI; Lucidic AI; Revyl; Mosaix.ai; CopyCat; Continue; Lyrebird; Mintplex Labs; Blaxel; Stably AI; Agentic Labs; Tasker AI; edgetrace; Fume; Tegon; Airbyte; MindsDB; Vathys; Raven Tech; DailyBot; PoplarML; Taktile; TypeLess; Warpdrive by Synthetic Minds; Dojah Inc; CloudCruise; RunRL; Autotab; Tavus; Nuanced; Magic Loops; Roundabout Technologies; Mystic; Elevate; Ellipsis; Waydev; Playground; Promptless; Second; Keywords AI; OpenPipe; Anakin; Squire.ai; Sapling.ai; Bilanc; Airtrain AI; Pierre; Chima; Brainbase; Lune; Augento; Relari; Patchwork; Decipher AI; Decohere; Luminai; Extend; Bayes Impact; dmodel; Vango AI; Pivot Robotics; Turing College; assistant-ui; Campfire (applied AI company); Moonglow; Parahelp; Layerup; Hatch; Patched; Akido Labs; BotCity; Tuva Health; Spade; Parea; Cambridge Cancer Genomics; Superpowered AI; Fractal Labs; WareIQ; Directed Edge; Corgea; Struct; Epsilla; Next Caller; nCompass Technologies; EasyCode; Cruise; Texel.ai; EdgeBit; PostHog; Exla; Praxos; Wildcard; BotBuilt; Dexterity; Datacurve; RunLocal; Maitai; Standard Cyborg; Asteroid; Palmier; YesGraph; Lumenary; Onyx; Ramen VR; Polymath Robotics; Guide Labs; Vogent; CodeAnt AI; Gecko Security; Aqua Voice; Mindori; Robby Technologies; Gulp; Spongecake; Miru; Gait; ShopMyGPT.com; Codeball; HEO Robotics; phospho; Hamming AI; Estimote, Inc.; Hyperbrowser; Agentin AI; sudocode; Speck; Quetzal; co.dev; Sieve; Emergent; Relace; Swiftype; Paradome; Inconvo; Roboflow; NeoWize; Driver AI; Escape; mutable.ai; Same; Vellum; bloop; Wit.ai; GitStart; Airmada; Yhat; Promoted.ai; PearAI; Kite; SBX Robotics; RMFG; Gridware; Algolia; Keeling Labs; Nextmv; Chonkie; GrubMarket; Starsky Robotics; Lamin; Ragas; ElectroNeek; Langdock; TRM Labs; CodeStory; Upsolve AI; Skyvern; Mocha; Helicone; Coulomb AI; OpenFoundry; Leeroo; Doublezero; Quickchat AI; Sage AI; T3 Chat (prev. Ping.gg); Operative.sh; Pulse; Swayable; PySpur.dev; CodeParrot AI; May Mobility; Focus Buddy; TrainLoop; Mastra; FiddleCube; Lantern; Vocode; Dataherald; Langfuse; Sola; LanceDB; Eloquent AI; Laminar; Zenbase AI; Workflow86; Cua; Foundry; Clearest Health; Tara AI; SID; Latent Space; Sift Dev; Plivo; et al.; Void; Hedgehog; Downlink; Felafax; Scale AI; Happenstance; Atla; kapa.ai; Athina AI; Embark Trucks; Trieve; CommodityAI; fixa; Watchsend; Momentic; Archil; Mem0; Mars Auto; Tailor-ED; Tensorfuse; Caddie AI; Reflex; Daily; Double – Coding Copilot; Percept.AI; VectorShift; Dev Tools AI; Axle; rct AI; Pulpix; Jido Maps; Auro Robotics; Ploomber; Swades AI; PlayHT; Reality Defender; AssemblyAI; Truffle AI; Cerulion; AvairSense; Innate; Stack AI; Unify; SafetyKit; Gumloop; Greptile; Compra Rápida; Den; Cosine; Leaping; Keet; Reworkd; Rocketable; Nyckel; Whirlscape; BricksAI; Codebuff; Asterisk; Manaflow; CloudGlue; expand.ai; OpenMeter; Smarking; Browser Use; Trébol; Plasticity; Chunkr; SensorSurf; Recall.ai; Veriff; Vibe; Cekura (formerly Vocera); mrge; Morphik; Credal.ai; Handl; Giga ML; Ardis AI; vly.ai; Firebender; Blyss; GoLinks; Pretzel AI; Hatchet; Klavis AI; Humanloop; Pythagora (GPT Pilot); Meter Feeder; Automorphic; ZeroPath; Zep AI; Perlara; Reducto; Redouble AI; Authologic; Netomi; Reprompt; Ovlo; Theneo; Ridecell; Tinfoil; Fluently; Chatter; Iambiq Technologies; Overview; Freestyle; Circlemind; Engines; RADAR; Airweave; Passenger AI; SRE.ai; MedCrypt; Shift Health; Abundant; Storia AI; Keyri; Relvy AI; Firecrawl; Phind; Intuned; Piramidal; Maya Labs; Polymet; RowBoat Labs; Melty; Sweep; Ponder; Jazzberry; Berbix; A1Base; Invofox; Weave; Exa; Cerebrium; Synth; Toolify; Lilac Labs; DAGWorks Inc.; Chatfuel; SAMMY Labs; Shaped; Markprompt; Strong Compute; D-ID; Flower; superglue; OfOne; Artemis Search; Traceloop; Simple AI; Protegee; Marft; Mindee; The Forecasting Company; FileStack; Integuru; NanoNets; Lytix; Atlas; Rivet; Basepilot; Codec; Faction; Presto; Tusk; Hello Chair; Retell AI; Paperspace; Confident AI; Boundary; FlowiseAI; Hegel AI"
"Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",Investment Fund Managers,102,TRM Labs; Upsolve AI; Orbiter; Parsewise; Pearson Labs; Spine AI; Algoriz; Melder; Trellis; Trueplace; Hudson Labs (formerly Bedrock AI); Metal; Friday; CambioML; Paradigm; inBalance; Handl; Spade; kater.ai; Buster; Dot; Weltio; Cambio; Benchmark; Centauri AI; Stamp; Eloquent AI; MarketBrief; dili; Fluently; Pachama; VantedgeAI; Sway Finance; Clara Labs; Glimmer; Plutto; Keye; Coinrule; Trata; Tejas AI; Peppr AI; finbar; Tile; Decisional AI; Pit.AI; Jasmine Energy; Hadrius; Aidy; Regology; Astro; Neptyne; FirstIgnite; Dataglade; Clarum; GovernGPT; PandasAI; Brewit; General Agency; Askdata; Revi; FrontPage; Patterns; PropRise; Maven Bio; camelAI; Demeter; Tetra; Orbio Earth; Fira; Arthena; Redbird; Blue Onion; Gaiascope; Bayesline; Elevate; Outerport; Findly; Shape; Powder; OffDeal; TradeFlow; HUD; Saturn; Heron Data; Quill AI; The Forecasting Company; Concourse; Valora; AlphaWatch AI; Basedash; Datrics; Basepilot; Defog.ai; Parsagon; Carousel Technologies; Fintool; Rollstack; Menza; Two Dots; Inkling; TokenOwl; goodfin
"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",Radiologists,40,Glass Health; BrainKey; Bot MD; Parsewise; Rejoy Health; Medigram; Frekil; Pharos; Mecha Health; Moonglow; PearAI; MICSI; Athelas; iSono Health; Human Dx; Friday; Zero Health; edgetrace; Glimmer; InVision Medical Technology; Akido Labs; RadMate AI; AgileMD; Segmed; Klarismo; Bunkerhill Health; Dev Tools AI; Codes Health; Talc; SimCare AI; Asteroid; MediSearch; Slingshot; Vera Health; RedBrick AI; Undermind; Caire Health; Adni; MicroHealth; Brighterway
"Perform payroll functions, such as maintaining timekeeping information and processing and submitting payroll.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",92,"Langdock; Extend; Forage Mail; LinkGrep; Poly; Skyvern; Automat; Lovage; Moonglow; Pumpkin; Wattson Health; Friday; Motion; Hatch; CambioML; Paradigm; MindFi; Credal.ai; Nowadays; GoLinks; Alaan; Vaero; SciPhi; Stamp; Spinach AI; Struct; Jestor; AutoComputer; Sola; Xobni; Workflow86; Twine; Dropbox; Fluently; Aldara; Callback; Repacket; Pernell; Anasen; Iambiq Technologies; Clara Labs; Dexterity; Deel; Latent Space; K-Scale Labs; Veryfi, Inc.; Compose.ai; Willow; Superagent; Shift Health; CopyCat; Mintplex Labs; Taskade; General Agency; Sidenote; Velos; Aqua Voice; MailTime; Elyos; Tasker AI; Bicycle AI; Lumina; Axiom.ai; Retape; Martin; Zuni; VectorShift; Cue; Dev Tools AI; TypeLess; Warpdrive by Synthetic Minds; BrainHi; Autotab; Query Vary; jo; Omni; Opencall.ai; Magic Loops; Akiflow; Stack AI; Heron Data; Gumloop; Sapling.ai; Finlens; PearAI; Den; Onward; Basepilot; Patika; Humand; ElectroNeek; Luminai"
"Perform record checks on past or current licensees, as required by investigations.","Court, Municipal, and License Clerks",43,Extend; AutoComputer; Sola; Mosaix.ai; LinkGrep; CopyCat; Parsewise; Reducto; Velos; Automat; Aqua Voice; Akiflow; Stack AI; Dropbox; MailTime; Callback; Repacket; Elyos; Friday; Tasker AI; Iambiq Technologies; Hatch; CambioML; Clara Labs; Dexterity; Lumina; Axiom.ai; MindFi; Credal.ai; Handl; Latent Space; Martin; VectorShift; Tetra; Basepilot; Autotab; Willow; Vaero; SciPhi; Onyx; ElectroNeek; TamLabs; Luminai
Perform risk assessments to develop response strategies.,Information Technology Project Managers,178,"Langdock; Upsolve AI; LinkGrep; Recall.ai; Quivr; Verak; Stellar; Coulomb AI; Aden; Quickchat AI; Pumpkin; Layerup; Motion; Elessar; Hatch; CambioML; Storyline; Andoria; Adri AI; Akido Labs; Toma; BotCity; Swayable; Iris Automation; Giga ML; Slite; May Mobility; Auctor; Blast; Blyss; Inevitable Tech; Standard AI; Trackingplan; FiddleCube; Trace; Vocode; Stamp; Struct; Spinach AI; CTGT; Eloquent AI; Redouble AI; Authologic; Clearly AI; EdgeBit; Cinder; Workflow86; Ridecell; Sennu AI; Openlayer; Truora; Circleback; Nextera Robotics; Frigade; Dropbox; Vybe; Sift; Clearest Health; Tara AI; Bankjoy; Forerunner AI; Repacket; Thorntale; Rescale; BotBuilt; Overview; Freestyle; Dexterity; Corgi Labs; Sendbird; numericcal, inc.; Flux Auto; Fathom; Plivo; Peppr AI; Cardinal; Command AI; Passenger AI; Asteroid; SRE.ai; Hadrius; MedCrypt; Superagent; Athina AI; Verihubs; Rulebase; Onyx; Type; Kobo360; Vogent; Ambient.ai; Pyka; Mosaix.ai; Abundant; Taskade; Askdata; Keyri; Baserun; Mars Auto; Tailor-ED; Relativity Space; Lawn Love; Vizy; Polymet; Elyos; Niles; Agentic Labs; HEO Robotics; Melty; Tasker AI; Upfort; Tegon; Raven Tech; DailyBot; CyberFend; Agentin AI; Dart; Speck; Dojah Inc; Azalea Robotics Corporation; rct AI; Proxis; Salt Security; Probably Genetic; Omni; Paradome; Roundabout Technologies; Gluetrail; Flagright; Palifer; Driver AI; Lilac Labs; Ploomber; Shaped; Waydev; Inlet; LineWise; Roundtable; Intryc; Vendora; Observe.AI; bloop; Entangl; Akiflow; LaunchFlow; Castle; Delve; Oki; GoldenBasis; Den; Protegee; Bilanc; Onward; AutoPallet Robotics; Brainbase; AviaryAI; RMFG; Dashdive; Rocketable; Raven; Keeling Labs; Traversal Networks; Industrial Next; Patchwork; CloudGlue; Faction; Presto; Open Motors; Retell AI; Flirtey (SkyDrop); Decipher AI; OpenMeter; Rollstack; NextDrop; Alai; ElectroNeek; Inkling; UNISON"
"Perform routine network startup and shutdown procedures, and maintain control records.",Network and Computer Systems Administrators,121,"Langdock; Nimbus; Pump.co; Stacksi; Veriff; Cedana; Moonglow; Pipeshift; Layerup; Akido Labs; Adri AI; Credal.ai; Toma; BotCity; HumanLayer; Meta; May Mobility; Blyss; Middleware; Cambridge Cancer Genomics; Standard AI; Focus Buddy; Risotto; WareIQ; Meter Feeder; Wild Moose; Smyte; SciPhi; VergeSense; Perlara; Epsilla; Next Caller; Parity; Cruise; CTGT; ContraForce; Cinder; Ridecell; Cua; Tinfoil; Fluently; Sift; Clearest Health; Bankjoy; Unthread; Vespper; Repacket; BotBuilt; Calltree AI; Clara Labs; Overview; numericcal, inc.; Sift Dev; Plivo; RADAR; Doctor Droid; Passenger AI; Hedgehog; Asteroid; Skypher; Verihubs; Rulebase; Ambient.ai; Shift Health; Mosaix.ai; AiSupervision; Keyri; Tailor-ED; Relvy AI; Tensorfuse; Securly; HEO Robotics; Tasker AI; Cyble; Estimote, Inc.; Upfort; Lumina; Telivy; Flock Safety; Raven Tech; DailyBot; CyberFend; Warpdrive by Synthetic Minds; Salt Security; Pig; Roundabout Technologies; Auro Robotics; Palifer; Lilac Labs; Ploomber; Strong Compute; Roundtable; Escape; Entangl; LaunchFlow; AvairSense; Castle; Delve; Airmada; OfOne; SafetyKit; PearAI; Lynx; Integuru; Trainy; Gridware; Lune; Rocketable; BricksAI; Strac; Traversal Networks; IOMETE; GrubMarket; Kura; QueryPie; Keep; Faction; Presto; Starsky Robotics; Paperspace; Smarking"
"Perform routine system administrative functions, such as troubleshooting, back-ups, or upgrades.",Bioinformatics Technicians,152,"Extend; Mito; Menten AI; BrainKey; Bayes Impact; Skyvern; Quivr; Turing College; Cofactor Genomics; Digistain; Abalone Bio; Mindstate Design Labs; Oncobox; Diffuse Bio; Simplex; Moonglow; Pumpkin; Morphik; Hatch; CambioML; Paradigm; Akido Labs; Tamarind Bio; Credal.ai; Harmonic Discovery; Activeloop; Metofico; Serinus Biosciences; Blyss; Arpeggio Bio; Pretzel AI; Neosync; Klavis AI; AminoAnalytica; Cambridge Cancer Genomics; Secoda; SciPhi; 64x Bio; MicroHealth; Perlara; Epsilla; Lume; nCompass Technologies; PipeBio; 1910 Genetics; Isabl; Redouble AI; Unsloth AI; Trident Bioscience; Verge Genomics; Praxos; Dropbox; Human Dx; Rescale; Output Biosciences; HypaHub; Iambiq Technologies; Scispot; Dexterity; SigOpt; Taylor AI; Circlemind; Aquarium Learning; Olio Labs; 20n; Klarismo; Airweave; Spiral Genetics; Talc; et al.; Sarus; Void; Asteroid; Osmind; Superagent; Junction Bioscience; Neptyne; Orbillion Bio; Opslane; Lavo Life Sciences; TensorPool; Guide Labs; Archil; AfterQuery; Phind; Vizy; Piramidal; Tasker AI; Roe AI; Medium Biosciences; MindsDB; Airbyte; Nectome; Jazzberry; Maven Bio; Segmed; Sequence Bio; PostEra; sudocode; Dev Tools AI; Bunkerhill Health; GEn1E Lifesciences; Warpdrive by Synthetic Minds; IvyCheck; Macromoltek; Atomwise; Simplifine; Vizly; Probably Genetic; Omni; Nuanced; Magic Loops; Mystic; CellChorus; Ploomber; Haplotype Labs; Strong Compute; Nanograb; Rejoy Health; Insight Data Science; Dropprint Genomics; Same; HUD; RTHM; OmniAI; Reticular; Nabla Bio; Yhat; Gumloop; Artemis Search; Known Medicine; PicnicHealth; Marft; Argon AI, Inc.; Anara; Lune; Nyckel; Exin Therapeutics; Evolvere BioSciences; Rivet; Bindwell; InnaMed; Codes Health; Chonkie; Julius; Ligo Biosciences; iollo; Paperspace; Undermind; Lamin; Pando Bioscience; WhiteLab Genomics"
"Perform searches for qualified job candidates, using sources such as computer databases, networking, Internet recruiting resources, media advertisements, job fairs, recruiting firms, or employee referrals.",Human Resources Specialists,139,Langdock; Lifted; LinkGrep; Zeit AI; Automat; Stellar; Headstart; Wattson Health; Layerup; Motion; Hatch; CambioML; Andoria; MindFi; Credal.ai; Worklytics; Ponyrun; Slite; kater.ai; Crew; GoLinks; Alaan; Lightscreen AI; Prophecy Sciences; Vaero; Stamp; Spinach AI; Dataherald; Jestor; Simplify; AutoComputer; Sola; Workflow86; Sennu AI; Truora; AXDRAFT; Fluently; Vybe; Snaptalent; Unthread; Pinch; Sourceress; Vora AI; Nimble; Pernell; Anasen; Iambiq Technologies; Slidely AI; Clara Labs; Dexterity; EzDubs; Deel; Fathom; Peppr AI; FirstWork; Intellect; Spoil; Clueso; Juicebox; Willow; Happenstance; Onyx; YouShift; Type; CopyCat; eqtble; DianaHR; Interviewed; Brewit; Spott; Mintplex Labs; General Agency; Sidenote; Taskade; Velos; Askdata; Leena AI; CreatorOS; Tailor-ED; MailTime; Vizy; Tasker AI; Lumina; Axiom.ai; Symphony; Humanly; camelAI; VectorShift; Tetra; Rebolt; Warpdrive by Synthetic Minds; Autotab; Bolto; Query Vary; Pragmatic Leaders (Ankai Inc); Tavus; Vovana; Opencall.ai; Gluetrail; Magic Loops; Superunit; Contrario; Luminai; Hirebolt; Gale; CoffeeAI; Swades AI; Findly; Talentropy.ai; inFeedo AI; HUD; Akiflow; Tuesday; Stack AI; Gem; Heron Data; Stardex; Gumloop; Sapling.ai; Den; NextByte; Pyq AI; Onward; Nestor; Brainbase; Pyxai; Fountain; Basedash; Basepilot; Moots AI; Manaflow; Emi Labs; Serra; Humand; garten; Bemlo; Dover; ElectroNeek; Apriora
Perform statistical analysis and correction of air or water pollution data submitted by industry or other agencies.,Environmental Engineering Technologists and Technicians,46,Extend; Pyka; GreenTally; Shape; Parsewise; LineWise; Quivr; Silurian; HUD; Tailor-ED; Dream3D; Birch Biosciences; Cedalio; Vizy; Artemis Search; Bilanc; Spark; Elessar; Tasker AI; CambioML; Glimmer; Clara Labs; Credal.ai; Offstream; Tenderd; Zeitview; Meta; Inevitable Tech; et al.; Chonkie; Nectar; Patchwork; Focus Buddy; Unravel Carbon; KorrAI; Hiration; Omni; Carbic; Paperspace; Wild Moose; HyLight; Traverse Technologies; NextDrop; PowerX; Simplify; Gecko Robotics
"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",Data Warehousing Specialists,121,"Langdock; Extend; Chunkr; Nimbus; Deasy Labs; Orbiter; Parsewise; Turing College; Quivr; Coblocks; Trellis; Moonglow; Morphik; Layerup; Hatch; CambioML; Akido Labs; Adri AI; Axal; Pulse; Toma; Credal.ai; Tuva Health; HumanLayer; ZeroEntropy; Spade; Pretzel AI; Buster; Neosync; Klavis AI; Superpowered AI; Dot; Trackingplan; Mercator; Secoda; SciPhi; Lantern; Dataherald; Epsilla; Lume; CTGT; LanceDB; Reducto; Redouble AI; PostHog; Tinfoil; Clearest Health; Vespper; Narrative; Clara Labs; Circlemind; Peppr AI; Airweave; Tile; Sarus; TigerEye; Asteroid; Scale AI; Happenstance; FirstIgnite; Opslane; Trieve; Mosaix.ai; PandasAI; Brewit; Askdata; Mem0; Eventual; Tasker AI; Roe AI; Metaplane; Estimote, Inc.; MindsDB; Airbyte; Raven Tech; Invofox; Agentin AI; Dev Tools AI; IvyCheck; Exa; Redbird; Swiftype; Nuanced; Magic Loops; Driver AI; DAGWorks Inc.; Elevate; Ploomber; Waydev; Inlet; mutable.ai; Grai; Cotera; superglue; Delve; OmniAI; Yhat; Gumloop; Artemis Search; Bilanc; nao Labs; Lynx; Chima; Reworkd; Lune; Strac; Basedash; IOMETE; Chonkie; Basepilot; QueryPie; Turntable; Manaflow; Tergle; Julius; expand.ai; Defog.ai; OpenMeter; Lamin; ElectroNeek; Luminai"
Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,Computer Programmers,430,"LinkGrep; Explo; Dragoneye; LiteLLM; Lingo.dev; Simplex; Pumpkin; Elessar; MagiCode; CambioML; Axal; Comfy Deploy; Bytebot; HumanLayer; Tenderd; ZeroEntropy; Meta; Blast; Neosync; Standard AI; Trackingplan; Deepgram; Galini; RedBrick AI; SciPhi; NuMind; Pocket Worlds; Unsloth AI; CodeViz; Dream3D; Speechly; Truora; Scanbase; Vybe; Snaptalent; Traces; Bankjoy; Liftigniter; Narrative; Calltree AI; Clara Labs; Anglera; Top Road; Taylor AI; Sendbird; Opearlo; Scrapybara; Freshplum; Command AI; Coval; Veryfi, Inc.; Neptyne; Verihubs; HeroUI; Lucidic AI; Revyl; Mosaix.ai; CopyCat; Continue; Lyrebird; Mintplex Labs; Blaxel; Stably AI; Agentic Labs; Tasker AI; edgetrace; Fume; Tegon; Airbyte; MindsDB; Vathys; Raven Tech; DailyBot; PoplarML; Taktile; TypeLess; Warpdrive by Synthetic Minds; Dojah Inc; CloudCruise; RunRL; Autotab; Tavus; Nuanced; Magic Loops; Roundabout Technologies; Mystic; Elevate; Ellipsis; Waydev; Playground; Promptless; Second; Keywords AI; OpenPipe; Anakin; Squire.ai; Sapling.ai; Bilanc; Airtrain AI; Pierre; Chima; Brainbase; Lune; Augento; Relari; Patchwork; Decipher AI; Decohere; Luminai; Extend; Bayes Impact; dmodel; Vango AI; Pivot Robotics; Turing College; assistant-ui; Campfire (applied AI company); Moonglow; Parahelp; Layerup; Hatch; Patched; Akido Labs; BotCity; Tuva Health; Spade; Parea; Cambridge Cancer Genomics; Superpowered AI; Fractal Labs; WareIQ; Directed Edge; Corgea; Struct; Epsilla; Next Caller; nCompass Technologies; EasyCode; Cruise; Texel.ai; EdgeBit; PostHog; Exla; Praxos; Wildcard; BotBuilt; Dexterity; Datacurve; RunLocal; Maitai; Standard Cyborg; Asteroid; Palmier; YesGraph; Lumenary; Onyx; Ramen VR; Polymath Robotics; Guide Labs; Vogent; CodeAnt AI; Gecko Security; Aqua Voice; Mindori; Robby Technologies; Gulp; Spongecake; Miru; Gait; ShopMyGPT.com; Codeball; HEO Robotics; phospho; Hamming AI; Estimote, Inc.; Hyperbrowser; Agentin AI; sudocode; Speck; Quetzal; co.dev; Sieve; Emergent; Relace; Swiftype; Paradome; Inconvo; Roboflow; NeoWize; Driver AI; Escape; mutable.ai; Same; Vellum; bloop; Wit.ai; GitStart; Airmada; Yhat; Promoted.ai; PearAI; Kite; SBX Robotics; RMFG; Gridware; Algolia; Keeling Labs; Nextmv; Chonkie; GrubMarket; Starsky Robotics; Lamin; Ragas; ElectroNeek; Langdock; TRM Labs; CodeStory; Upsolve AI; Skyvern; Mocha; Helicone; Coulomb AI; OpenFoundry; Leeroo; Doublezero; Quickchat AI; Sage AI; T3 Chat (prev. Ping.gg); Operative.sh; Pulse; Swayable; PySpur.dev; CodeParrot AI; May Mobility; Focus Buddy; TrainLoop; Mastra; FiddleCube; Lantern; Vocode; Dataherald; Langfuse; Sola; LanceDB; Eloquent AI; Laminar; Zenbase AI; Workflow86; Cua; Foundry; Clearest Health; Tara AI; SID; Latent Space; Sift Dev; Plivo; et al.; Void; Hedgehog; Downlink; Felafax; Scale AI; Happenstance; Atla; kapa.ai; Athina AI; Embark Trucks; Trieve; CommodityAI; fixa; Watchsend; Momentic; Archil; Mem0; Mars Auto; Tailor-ED; Tensorfuse; Caddie AI; Reflex; Daily; Double – Coding Copilot; Percept.AI; VectorShift; Dev Tools AI; Axle; rct AI; Pulpix; Jido Maps; Auro Robotics; Ploomber; Swades AI; PlayHT; Reality Defender; AssemblyAI; Truffle AI; Cerulion; AvairSense; Innate; Stack AI; Unify; SafetyKit; Gumloop; Greptile; Compra Rápida; Den; Cosine; Leaping; Keet; Reworkd; Rocketable; Nyckel; Whirlscape; BricksAI; Codebuff; Asterisk; Manaflow; CloudGlue; expand.ai; OpenMeter; Smarking; Browser Use; Trébol; Plasticity; Chunkr; SensorSurf; Recall.ai; Veriff; Vibe; Cekura (formerly Vocera); mrge; Morphik; Credal.ai; Handl; Giga ML; Ardis AI; vly.ai; Firebender; Blyss; GoLinks; Pretzel AI; Hatchet; Klavis AI; Humanloop; Pythagora (GPT Pilot); Meter Feeder; Automorphic; ZeroPath; Zep AI; Perlara; Reducto; Redouble AI; Authologic; Netomi; Reprompt; Ovlo; Theneo; Ridecell; Tinfoil; Fluently; Chatter; Iambiq Technologies; Overview; Freestyle; Circlemind; Engines; RADAR; Airweave; Passenger AI; SRE.ai; MedCrypt; Shift Health; Abundant; Storia AI; Keyri; Relvy AI; Firecrawl; Phind; Intuned; Piramidal; Maya Labs; Polymet; RowBoat Labs; Melty; Sweep; Ponder; Jazzberry; Berbix; A1Base; Invofox; Weave; Exa; Cerebrium; Synth; Toolify; Lilac Labs; DAGWorks Inc.; Chatfuel; SAMMY Labs; Shaped; Markprompt; Strong Compute; D-ID; Flower; superglue; OfOne; Artemis Search; Traceloop; Simple AI; Protegee; Marft; Mindee; The Forecasting Company; FileStack; Integuru; NanoNets; Lytix; Atlas; Rivet; Basepilot; Codec; Faction; Presto; Tusk; Hello Chair; Retell AI; Paperspace; Confident AI; Boundary; FlowiseAI; Hegel AI"
Perform systems analysis or programming of radio frequency identification device (RFID) technology.,Radio Frequency Identification Device Specialists,30,"Yondu; Mars Auto; Tailor-ED; Robby Technologies; AvairSense; Nextera Robotics; Guardian RF; Bilanc; Maya Labs; Elessar; Corvus Robotics; Estimote, Inc.; AutoPallet Robotics; numericcal, inc.; Flux Auto; Tenderd; Yummy Future; Powerhouse AI; RADAR; Warpdrive by Synthetic Minds; et al.; Standard AI; Patchwork; Azalea Robotics Corporation; SnapMagic; Faction; Presto; Meter Feeder; Happenstance; Auro Robotics"
"Perform thermal, stress, or cost reduction analyses for solar systems.",Solar Energy Systems Engineers,33,Forage Mail; autarc; Silurian; Draftaid; Coulomb AI; Fluently; SmartHelio; Bilanc; Rescale; Layerup; Spark; Elessar; The Forecasting Company; CambioML; Tasker AI; Hatch; Gridware; Atmo; Tenderd; Zeitview; Aether Energy; Auctor; Keeling Labs; et al.; Dime; Chonkie; Radical; Patchwork; Paperspace; Gaiascope; Macadamia; PowerX; Pirros
"Perform validation and testing of models to ensure adequacy, and reformulate models, as necessary.",Operations Research Analysts,180,"Mito; Bayes Impact; Upsolve AI; General Analysis; Zeit AI; Turing College; Verak; Cellbyte; Abalone Bio; Dartboard Energy; Coulomb AI; Algoriz; Coblocks; Leeroo; Trellis; Moonglow; Riveter AI; Hudson Labs (formerly Bedrock AI); CambioML; Paradigm; inBalance; Tuva Health; Harmonic Discovery; Swayable; Metofico; May Mobility; Spade; Inevitable Tech; Pretzel AI; Buster; Neosync; Cambridge Cancer Genomics; Unravel Carbon; Dot; Operand; Mercator; Benchmark; Centauri AI; Secoda; Inscribe; Dataherald; Perlara; Overwatch; 1910 Genetics; Cruise; Vooma; Unsloth AI; Medicare Vox (fka Fair Square); LogisticsOS; Dream3D; Verge Genomics; Clearest Health; autone; Tydo; Magicflow 𐂂; VantedgeAI; Narrative; WeatherCheck; Output Biosciences; HypaHub; Corgi Labs; SigOpt; Atmo; Tejas AI; Olio Labs; Freshplum; finbar; Spiral Genetics; Tile; Talc; et al.; Pit.AI; Partcl; Passenger AI; Maitai; TigerEye; Athina AI; Neptyne; FirstIgnite; Lavo Life Sciences; TensorPool; Guide Labs; Optilly/Installmonetizer; PandasAI; Brewit; BeGo; Askdata; Archil; Miracle; Mars Auto; Tailor-ED; Patterns; AfterQuery; Relativity Space; Monterey AI; Soteris; Tasker AI; Melty; Medium Biosciences; MindsDB; Plexe; ClearBrain; camelAI; MindPortal; Demeter; Segmed; Taktile; PostEra; Sequence Bio; Bunkerhill Health; GEn1E Lifesciences; IvyCheck; Macromoltek; Atomwise; RunRL; Simplifine; Vizly; Probably Genetic; Arthena; Carbic; Redbird; Gaiascope; NeoWize; Ontra Mobility; Bayesline; Elevate; Intelligent; Pibit.ai; Artificial Societies; Swades AI; Strong Compute; Nanograb; Roundtable; Insight Data Science; Turing Labs Inc.; Vendora; Silurian; Corgi; Versive; Cotera; HUD; Guac; Anakin; Nabla Bio; Yhat; Exosonic, Inc.; Known Medicine; PicnicHealth; Marft; nao Labs; The Forecasting Company; RiskCube; Anara; MinusX; Framed Data; Evolvere BioSciences; Sepal AI; Valora; Keeling Labs; AlphaWatch AI; Basedash; Datrics; Nextmv; Julius; KorrAI; Faction; iollo; Delineate; Carousel Technologies; Pathmind; Paperspace; OpenMeter; Smarking; Undermind; Lamin; Rollstack; NextDrop; Menza; Two Dots; Inkling"
